File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2016-079,2020-03-02,02:20 PM,03:00 PM,Draft email to Atty. Almero re the 27 February 2020 hearing for pre-trial.
2016-079,2020-03-13,12:30 PM,12:40 PM,Examine the Order dated 27 February 2020 dismissing the case. Draft report to Atty. Almero regarding the same.
2016-085,2020-03-04,05:55 PM,06:10 PM,Examine the CTA Order referring the case to mediation. Draft email to Oskie and Arnel reporting our receipt of the CTA Order and suggesting steps to be taken for the mediation.
2017-230,2020-03-05,12:30 PM,04:30 PM,Attendance at the mediation conference at the CTA. Phone call with Rodette regarding the conference. Draft email report to client regarding the discussion at the conference.
2017-230,2020-03-06,11:40 AM,12:40 PM,Draft and finalize Motion to Suspend Court Proceedings.
2017-230,2020-03-13,03:35 PM,03:50 PM,Draft email to GPP confirming the filing of the Motion to Suspend Court Proceedings and advising of the tentative schedule of the next mediation conference.
2017-230,2020-04-13,01:00 PM,01:10 PM,Draft email to client advising them of the cancellation of the 26 March 2020 mediation conference and following up their response to the 40% compromise offer.
2018-014,2020-03-13,03:00 PM,03:30 PM,Examine the CTA Order granting our Motion for Partial Reconsideration. Draft email report to Ian regarding the same.
2018-014,2020-04-13,01:10 PM,01:20 PM,Draft email to Ian regarding the extension of the ECQ and cancellation of the 22 April 2020 hearing for the BIR presentation of their evidence.
2018-022,2020-03-02,03:00 PM,05:30 PM,Examine GSMI's appeal. Draft Comment to GSMI's appeal.
2018-022,2020-03-04,12:30 PM,02:00 PM,Continue drafting the Comment to GSMI's appeal.
2018-022,2020-03-04,09:00 PM,10:00 PM,Continue drafting the Comment to GSMI's appeal.
2018-022,2020-03-05,11:30 AM,12:00 PM,Continue drafting the Comment to GSMI's appeal.
2018-022,2020-03-12,09:10 PM,09:20 PM,Draft email to Ricky confirming the filing of the Comment to GSMI's appeal.
2018-060,2020-03-11,10:20 PM,10:30 PM,Phone calls with Finnair's counsel asking if we already received advice regarding an increased offer. 
2018-060,2020-03-17,11:30 AM,11:40 AM,Draft email to Gordon and Vincent regarding the calls from Finnair's counsel.
2018-060,2020-03-24,11:20 AM,11:40 AM,Consider Vincent's 17 March 2020 email regarding exchanges with Clyde regarding the increased settlement offer. Draft email to Vincent regarding the messages from Finnair's local counsel on the increased offer.
2018-060,2020-04-13,12:40 PM,01:00 PM,"Draft email to Vincent asking if client has authorized the USD30,000 offer and reminding him of the 07 May 2020 pre-trial."
2018-060,2020-04-13,06:00 PM,06:15 PM,"Consider Gordon's email confirming the increase of the offer to USD30,000. Draft reply to Gordon."
2018-132,2020-03-02,11:40 AM,11:50 AM,Draft email to client confirming the filing of the Motion for Partial Reconsideration.
2018-132,2020-03-05,11:15 AM,11:30 AM,Consider Didi's email forwarding QQI's computation of Complainant's judgment award. Draft reply to Didi.
2018-132,2020-03-06,01:15 PM,01:30 PM,Examine QQI's Motion for Partial reconsideration. Draft email to client regarding our receipt of the MR.
2018-132,2020-03-11,02:45 PM,03:30 PM,Consider Didi's email forwarding the email exchange regarding QQI's decision to settle with Complainant and asking what liabilities may be claimed from QQI. Draft reply to Didi.
2018-132,2020-03-12,06:00 PM,06:20 PM,Consider Didi's email forwarding the email exchange with QQI's lawyer and asking whether Complainant filed an MR and if we can withdraw the MRs and settle the judgment award. Draft reply to Didi.
2018-132,2020-03-12,06:20 PM,06:50 PM,Consider Didi's email asking about concerns regarding QQI's decision to wait for the NLRC's resolution of the MRs. Draft reply to Didi.
2018-132,2020-03-13,09:45 AM,10:00 AM,Consider Didi's email regarding a possible settlement by QQI in cash and effect/s thereof. Draft reply to Didi.
2018-141,2020-03-04,05:00 PM,05:20 PM,Consider Atty. Salva's email stating that she will inform Davies of Colorgram's mention in the website. Draft email to YeWon reporting the email from Atty. Salva.
2018-141,2020-03-06,02:10 PM,02:20 PM,Consider YeWon's email with the revised undertaking and instructions regarding the COLOR GRAM app as seen on Davies' website. Draft email to Atty. Salva regarding Instagram's approval of the undertaking.
2018-141,2020-03-11,03:35 PM,03:45 PM,Consider Atty. Salva's email confirming the reference to COLOR GRAM has been removed from Davies' website. Draft reply to Atty. Salva.
2018-141,2020-03-11,07:30 PM,07:45 PM,Draft email to YeWon confirming that reference to COLOR GRAM has been removed from Davies' website and advising that Davies has prepared the amendment papers for filing.
2018-141,2020-03-12,12:45 AM,01:10 AM,Consider Atty. Salva's email and revisions to the Joint Motions. Draft reply to Atty. Salva.
2018-141,2020-03-12,08:30 AM,08:45 AM,"Revise Joint Motions, given Atty. Salva's email."
2018-141,2020-03-12,11:15 AM,12:30 PM,Consider Atty. Salva's reply regarding the Joint Motions. Phone calls with Atty. Salva. Finalize the Joint Motions and the undertaking.
2018-141,2020-03-12,07:00 PM,07:30 PM,"Draft email to YeWon reporting the execution of the undertaking, filing of the amendments, and filing of the Joint Motions to Dismiss."
2018-141,2020-04-16,03:00 PM,03:10 PM,Draft email to YeWon advising her of the extension of the ECQ until 30 April 2020 and effects on this matter.
2018-170,2020-03-11,11:40 AM,12:00 PM,Draft Joint Motion to Dismiss.
2018-170,2020-03-11,04:30 PM,04:45 PM,Draft Joint Motion to Dismiss.
2018-170,2020-03-12,01:45 PM,04:00 PM,Attendance at the 4th mediation conference at the IPO.
2018-176,2020-03-09,03:00 PM,03:30 PM,Examine TRCI's Comment to Complainants' MR. Draft email to client reporting our receipt of TRCI's Comment.
2018-176,2020-03-12,08:15 PM,09:00 PM,Examine Complainants' MR. Draft Manifestation with Motion for Time. Draft email to client regarding Complainants' MR.
2018-176,2020-03-18,06:15 PM,06:30 PM,Draft email to client regarding the closure of NLRC offices in LUzon and effect on the filing of our Comment to Complainants' MR.
2019-048,2020-03-06,07:00 AM,11:30 AM,Meeting with PMB and Mr. Lee at Torch Mandaluyong. Draft email to Vincent and Nick regarding the meeting with Mr. Lee.
2019-048,2020-03-13,03:55 PM,04:05 PM,Draft email to Nick and Vincent regarding the cancellation of the 17 March 2020 JDR.
2019-050,2020-03-04,02:00 PM,05:10 PM,Attendance at the mediation conference at the IPO. Draft email to YeWon reporting the discussion at the conference.
2019-050,2020-03-13,05:40 PM,05:55 PM,Draft email to YeWon advising her that we have not receive any update from Quadx's lawyer.
2019-050,2020-04-02,12:30 PM,01:00 PM,Consider YeWon's email asking for updates on this matter and clarifying that the request for Quadx not to use any Instagram mark is not limited to Class 35. Draft follow-up email to Quadx's lawyer. Draft reply to YeWon.
