File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2020-019,2020-03-24,02:00 PM,03:00 PM,Internal meeting in preparation for telephone conference with client
2020-019,2020-03-25,09:00 AM,10:00 AM,Conference with GSK EHS Team
2020-019,2020-03-25,10:00 AM,10:45 AM,Conference with GSK Supply Team
2020-019,2020-03-25,11:00 AM,11:30 AM,Conference with GSK HR Team
2011-160,2020-04-14,12:26 PM,12:46 PM,Telecon with Amy Hocson and Bernie Sanchez re: possible work arrangements after April 30
2011-160,2020-04-18,01:00 PM,02:00 PM,draft and email response to query of Jeff Genova re: employee resignation and lack of resignation letter
2011-160,2020-04-18,10:00 AM,11:00 AM,revise draft opinion and draft notice for cancellation of consultancy agreement
2011-160,2020-04-17,01:00 PM,01:30 PM,draft and email response to follow-up question of Camille Magbanua re: Buchanan employment contracts
2011-160,2020-04-17,03:00 AM,03:30 AM,review and revise draft opinion and draft notice for cancellation of consultancy agreement
2011-160,2020-04-14,03:00 PM,04:30 PM,draft and email opinion to Camille Magbanua re: Buchanan employment contracts; revise employment contract
2011-160,2020-04-03,05:00 PM,07:00 PM,Prepare Notice of Revocation/Withdrawal of Job Offer and draft opinion on such revocations
2011-160,2020-04-02,05:00 PM,07:00 PM,Prepare Notice of Termination of Consultancy Agreement and draft opinion on possible exposure and liability for such termination
2009-118,2020-03-27,03:45 PM,03:55 PM,Telecon with Via Fajardo re: work from home arrangements
2009-118,2020-03-23,01:30 PM,02:00 PM,telecon with Marese de Vera re: setting up of newco and possible options for transfer of employees
2009-118,2020-04-08,10:00 PM,11:00 PM,Further review of MSD Vaccines and Request Policy
2009-118,2020-04-08,07:00 PM,07:30 PM,Respond to Marese de Vera's question on Donor's Tax Exemption and Deductibility of  Donations
2009-118,2020-03-23,09:00 AM,09:10 AM,reply to Via Fajardo's query on April 09 holiday pay
2009-118,2020-03-19,02:00 PM,03:00 PM,draft and email response to Linus Caguioa's query on Union consultation vis-à-vis setting up of NewCo
2009-118,2020-03-17,03:30 PM,04:00 PM,respond to Mau dela Isla's query on Company's per diem policy and lockdown situation
2016-156,2020-04-15,03:00 PM,04:00 PM,Review and revise response to Kasey Ekert's query on data privacy vis-à-vis planned implementation of survey
2016-156,2020-03-05,03:30 PM,04:00 PM,Review and revise response to Hismadi's query re: digital signatures
2015-099,2020-04-13,03:00 PM,03:30 PM,Revise response to query of Ed Tordesillas re: IATF announcement on mandatory disclosure vis-à-vis data privacy act
