File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2019-135,2020-03-26,09:30 PM,11:00 PM,Examine the DOLE Advisories and draft response to query re Flexible Work Arrangements
2019-135,2020-03-27,01:50 PM,3:15 PM,Revise the opinion on Flexible Work Arrangements
2019-135,2020-03-27,03:30 PM,6:00 PM,Continue drafting the opinion on Flexible Work Arrangements
2019-135,2020-03-29,03:50 PM,4:35 PM,Draft further revisions to the opinion on Flexible Work Arrangements
2019-135,2020-03-29,10:00 PM,11:00 PM,Examine DTI issuances re social distancing; Draft further revisions to the opinion on Flexible Work Arrangements
2019-135,2020-03-30,03:15 PM,4:00 PM,Draft reply to follow-up queries of Joey on FWA
2019-135,2020-03-30,08:35 PM,9:10 PM,Revise the reply to follow-up queries of Joey on FWA; Examine DO 209
2019-135,2020-03-30,10:30 PM,11:30 PM,Examine the proposed work schedule and draft response to queries of Ms. Renet re CAMP
2019-135,2020-03-31,11:20 AM,12:00 PM,Examine Labor Code and draft reply to query on no rest day during emergency
2019-135,2020-03-31,02:50 PM,4:00 PM,Revise the timeline; examine the NCMB minutes of March 13 conference and draft revisions to status report
2019-135,2020-04-01,04:20 PM,4:40 PM,Examine query re WFH and opinion of Atty. Arcilla; draft reply
2019-135,2020-04-01,04:55 PM,5:05 PM,Examine additional emails re WFH benefits and draft reply
2019-050,2020-04-02,02:05 PM,2:20 PM,Review email to YeWon re settlement terms and follow up email to opposing counsel
2020-022,2020-04-02,03:30 PM,3:40 PM,Review status report re response to C&D letter
2019-135,2020-04-06,11:00 AM,11:20 AM,Conference call with Atty. Arcilla re Calamity premium query
2019-135,2020-04-06,12:55 PM,2:30 PM,Examine past CBA negotiations re history of calamity provision and confer by email with Atty. GPQP re query
2019-135,2020-04-06,03:20 PM,5:20 PM,Examine Office of the President Memoranda and other issuances re government declaration of suspension of work; draft email reply to query re calamity provision
2013-131,2020-04-07,10:00 AM,10:40 AM,Review the Law Update for the 1st Quarter
2020-048,2020-04-07,10:20 PM,1:30 AM,Examine ABS CBN's copyright infringement cases and draft portion of the opinion
2020-048,2020-04-08,08:50 AM,10:50 AM,Review the revised opinion
2019-135,2020-04-13,01:40 PM,2:40 PM,Draft email to followup queries on the calamity premium
2019-135,2020-04-13,08:50 PM,9:30 PM,Draft response to new queries on the calamity premium
2019-135,2020-04-14,05:40 AM,6:50 AM,Draft response to new queries on the calamity premium
2019-135,2020-04-14,08:50 AM,10:00 AM,Draft response to new queries on the calamity premium
2019-135,2020-04-14,02:15 PM,2:35 PM,Examine the new questions regarding forced leave
2019-135,2020-04-14,06:00 PM,7:35 PM,Draft reply to queries on forced leave
2019-135,2020-04-14,07:40 PM,8:00 PM,Conference call with Atty. GPQP to discuss revisions to the opinion
2019-135,2020-04-15,05:30 AM,6:30 AM,Continue drafting reply to queries on forced leave
2018-050,2020-04-15,09:15 AM,9:45 AM,Draft reply to Kasey re transfer of Implanon to NewCo; examine relief prayed for by ALFI
2020-049,2020-04-15,02:20 PM,3:20 PM,Review the draft assessment opinion regarding Instashop
2020-048,2020-04-15,04:50 PM,5:50 PM,Online search on the use of RIO in local titles
2019-050,2020-04-16,03:20 PM,03:30 PM,Review status report re communications with Quadx counsel
2020-048,2020-04-17,09:40 AM,12:20 PM,Examine the cited links in the draft opinion; review the draft opinion on the proposed alternate titles
2018-050,2020-04-17,02:50 PM,03:50 PM,Examine FDA Circulars and DOH AO re requirements on transfer CPRs; revise opinion
2018-050,2020-04-20,10:00 AM,10:15 AM,Examine FDA Circulars re MAH definition and revise the response
2018-050,2020-04-22,2:20 PM,2:55 PM,Examine Rules of Court; examine ALFI's prayer and search MSD's contraceptives that are subject of the case; draft reply to query on Motion for Substitution
2018-050,2020-04-27,11:00 AM,11:20 AM,Conference call with Kasey Eckert re transfer of marketing authorization over Implanon
2018-050,2020-04-27,11:40 AM,12:10 PM,Draft email confirming matters discussed during conference call with Kasey
2019-135,2020-04-27,03:00 PM,03:15 PM,Read Guy's email to all SPO employees and email with Joey to request clarification on his query
1973-461,2020-04-29,03:00 PM,03:15 PM,Review initial draft of opinion re rotation of workers and retrenchment
