File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
1996-1035,2020-03-25,11:00 AM,11:30 AM,Draft and finalize auditor's Report
1996-1035,2020-03-26,05:30 PM,05:40 PM,File GIS
1996-1035,2020-03-26,02:15 PM,02:30 PM,Advise KDT on GIS filing and meeting via remote communication 
1996-1049,2020-04-01,05:00 PM,06:00 PM,Draft response to Agie De Jesus re: RTLA 
1996-1049,2020-04-02,11:00 AM,12:00 PM,Further revise draft email reply re RTLA
1996-1049,2020-04-06,06:00 PM,06:30 PM,Review of Service Agreement with Deloitte
1996-1049,2020-04-13,01:00 PM,01:30 PM,Review latest Service Agreement with Deloitte
1996-1049,2020-04-14,09:00 AM,09:15 AM,Phone conference with Atty. Rene Almero to discuss the service agreement with Deloitte
1996-1049,2020-04-16,03:30 PM,05:00 PM,Phone conference with Keisuke Oba and Deloitte. Draft and transmit report on outcome of phone conference
1996-1145,2020-04-20,12:10 PM,12:20 PM,Revisit PMSC Retirement Plan's Rules and Regulations to determine manner of appointment of Plan Committee in re: query if Ian Guillena dated 20 April 2020
2003-184,2020-03-30,10:30 AM,10:50 AM,Phone conference with Jean / Mahintana on the tax implication of LGU donations
2007-160,2020-03-30,11:10 AM,11:20 AM,Genzyme Auditor's Report
2007-160,2020-04-03,12:00 PM,12:15 PM,Draft reply to auditor of Genzyme re: auditor's report
2007-160,2020-04-06,04:00 PM,04:10 PM,Revise Genzyme Auditor's Report
2007-160,2020-04-14,11:10 AM,11:20 AM,Further revise Genzyme Auditor's Report
2010-065,2020-04-01,09:00 AM,10:30 AM,Review Contracts
2011-164,2020-03-16,11:00 AM,11:15 AM,Advise on status of the conference scheduled during the lockdown. 
2013-075,2020-04-02,03:20 PM,05:00 PM,Further revise memo re: reckoning point for taxes fof transfer of Mr. Ferrer's shares
2013-075,2020-04-06,02:00 PM,04:00 PM,Review WPPMCI Memo Ferrer
2013-075,2020-04-07,07:30 PM,08:00 PM,Further review memo WPPMCI Ferrer
2013-127,2020-04-02,02:00 PM,02:30 PM,Further revise email reply on tax liability of GUPTI
2013-131,2020-04-03,01:00 PM,02:00 PM,Siemens Law Updates review DMZ's part
2013-131,2020-04-05,12:00 PM,07:00 PM,"Siemens Law Updates Corp, Labor, Tax and Customs"
2015-157,2020-04-06,05:00 PM,05:30 PM,On Semi TIN Application SPA and requirements
2015-157,2020-04-14,01:00 PM,01:15 PM,Draft reply to Oona Crusell re validity of SPA
2015-157,2020-04-15,09:45 AM,09:55 AM,Further draft reply to Oona Crusell re validity of SPA
2015-119-F,2020-03-10,08:00 AM,12:00 PM,Follow up with BIR ITAD status of TTRA
2016-031,2020-03-26,01:15 PM,01:40 PM,Draft Auditor's Report
2016-031,2020-03-30,11:00 AM,11:10 AM,Finalize and transmit Auditor's Report
2016-031,2020-04-07,01:00 PM,01:30 PM,SWA Commercial Lease Query
2016-038,2020-04-13,03:00 PM,03:30 PM,Draft 3rd Year DAU Cutie Class No. 28. Review the Certificate of Registration and reminder sent by IPO.
2016-038,2020-04-14,11:00 AM,11:10 AM,Send Naresh Daswani inventory of trademarks 
