File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2019-176,2020-03-17,02:00 PM,03:00 PM,Draft and prepare appellant's brief for Josef v. Ursua 
2019-176,2020-03-19,01:00 PM,02:00 PM,Draft and prepare appellant's brief for Josef v. Ursua 
2019-176,2020-03-21,10:00 AM,10:35 AM,Review transcript of Jennifer Josef 
2019-176,2020-03-23,01:00 PM,03:00 PM,Draft and prepare appellant's brief for Josef v. Ursua 
2019-176,2020-03-24,05:10 PM,06:00 PM,"Review transcript of Atty. Hinanay, Jr."
2019-176,2020-03-27,09:30 AM,11:00 AM,Draft and prepare appellant's brief for Josef v. Ursua 
2019-176,2020-03-28,02:00 PM,03:00 PM,Draft and prepare appellant's brief for Josef v. Ursua 
2019-176,2020-03-31,01:00 PM,01:45 PM,Review transcript of Evalyn Ursua re: hearing on Judicial Affidavit
2019-176,2020-04-03,01:00 PM,01:40 PM,Review requirements for notice of lis pendens; draft and prepare notice of lis pendens
2019-176,2020-04-04,10:00 AM,11:00 AM,Draft and prepare appellant's brief for Josef v. Ursua 
2019-176,2020-04-08,09:00 AM,11:00 AM,Draft and prepare appellant's brief for Josef v. Ursua 
2019-176,2020-04-08,02:30 PM,03:00 PM,Prepare email advise for JJ re: notice of lis pendens and cancellation of annotation of adverse claim
2019-176,2020-04-13,09:00 AM,01:20 PM,Review transcript of Evalyn Ursua; Draft and prepare appellant's brief for Josef v. Ursua 
2019-176,2020-04-13,01:20 PM,01:30 PM,Email update for JJ regarding ECQ extension
2019-176,2020-04-14,01:00 PM,02:00 PM,Draft and prepare appellant's brief for Josef v. Ursua 
2019-176,2020-04-15,02:00 PM,02:20 PM,Follow up inquiry with Quezon City Hall re: availability of Registry of Deeds Quezon City
2019-176,2020-04-18,10:00 AM,12:00 PM,Review transcript of Evalyn Ursua re: hearing on Supplemental Judicial Affidavit; draft and prepare appellant's brief
2019-176,2020-04-20,09:30 AM,10:30 AM,Draft and prepare appellant's brief for Josef v. Ursua 
2019-191,2020-03-23,05:00 PM,06:30 PM,Summarize and consolidate Due Diligence Report; create recommendations for interlocking directors and shareholders 
2019-191,2020-03-24,01:00 PM,02:30 PM,Summarize and consolidate Due Diligence Report; create recommendations for interlocking directors and shareholders 
2020-029,2020-03-26,04:00 PM,04:20 PM,Email re: Lazada application with BIR RDO 44 to change application period
2020-029,2020-03-26,04:30 PM,04:45 PM,Follow up inquiry with the BIR RDO 44 on Lazada application to change accounting period
2020-029,2020-03-27,02:20 PM,02:35 PM,Follow up inquiry with the BIR RDO 44 on Lazada application to change accounting period
2020-029,2020-04-02,03:00 PM,03:15 PM,Follow up inquiry with the BIR RDO 44 on Lazada application to change accounting period
2020-029,2020-04-07,02:50 PM,03:00 PM,Follow up inquiry with the BIR RDO 44 on Lazada application to change accounting period
2020-029,2020-04-15,03:00 PM,05:15 PM,"Draft advice on interim effectivity of change in accounting period (Revised Corporation Code vis-à-vis Tax Code and RR 3-2011), in relation to Atty. Joustine's email query on April 15, 2020"
2020-029,2020-04-16,06:00 PM,06:15 PM,Prepare and finalize email advice re: query on interim effectivity of accounting period
2020-029,2020-04-20,09:00 AM,09:15 AM,Follow up inquiry with the BIR RDO 44 on Lazada application to change accounting period
2013-075,2020-03-07,04:30 PM,06:00 PM,Revise legal opinion on reckoning period for payment of taxes re: David Ferrer's transfers of shares 
2019-057-A,2020-04-01,01:00 PM,03:00 PM,Draft and prepare Judicial Affidavit of Erlinda Flores
2019-057-A,2020-04-03,02:00 PM,04:00 PM,Draft and prepare Judicial Affidavit of Erlinda Flores
