File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2020-049,2020-04-15,09:00 AM,09:10 AM,Revision of draft opinion; Email to McKenna Steere
2020-049,2020-04-14,09:00 AM,03:40 PM,Email to McKenna Steere on full particulars of the applcation; Draft opinion; Desktop search re INSTASHOP
2019-050,2020-04-16,09:00 AM,09:10 AM,Review of draft email to YeWon Min; Review of draft email to counsel of Quadx
2019-050,2020-04-02,09:00 AM,09:10 AM,Review of draft email to YeWon Min; Review of draft email to counsel of Quadx
2019-050,2020-03-13,09:00 AM,09:10 AM,Review of draft email to YeWon Min re update on Quadx's lawyer
2019-050,2020-03-04,09:00 AM,09:10 AM,Review of email to YeWon Min regarding mediation conference
2018-141,2020-03-13,09:00 AM,09:10 AM,Review of draft email to YeWon Min re settlement
2018-141,2020-03-12,09:00 AM,09:15 AM,Further review of Joint Motions and correspondence with Atty. Claire Salva; Review of draft email to YeWon Min re settlement
2018-141,2020-03-11,09:00 AM,09:20 AM,"Review of draft emails to YeWon Min and Atty. Claire Salva, and Joint Motions for Dismissal with Prejudice"
2018-141,2020-03-09,09:00 AM,09:10 AM,Review of email to Aty. Claire Salva
2018-141,2020-03-04,09:00 AM,09:10 AM,Review of email to YeWon Min regarding response of Atty. Salva
2018-141,2020-03-02,09:00 AM,09:10 AM,Review of revised draft email to Atty. Claire Salva
2020-048,2020-04-16,09:00 AM,01:20 PM,"Review and revision of draft opinion and transmittal email to Jenny Goak; Desktop search re UNCOUPLED IN RIO/RIO, UNCOUPLED; Additional desktop search re ABS-CBN's UNCOUPLING series"
2020-048,2020-04-14,09:00 AM,09:10 AM,Review of draft email to Jenny Goak
2020-048,2020-04-08,09:00 AM,09:10 AM,Review of revised draft opinion
2020-048,2020-04-07,09:00 AM,12:10 PM,Review and revision of draft opinion; Desktop search re ABS-CBN's UNCOUPLING series
2019-030,2020-03-04,09:00 AM,09:40 AM,Call to DTI Business Name Registration Division; Email to Monica Parvulescu re cancel apply process
