File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2019-031,2019-07-28,07:30 PM,08:30 PM,Reviewed Reply/Rebuttal Affidavit 
2019-031,2019-08-26,12:00 PM,01:00 PM,Reviewed Final Offer of Evidence 
2019-031,2019-10-12,09:00 PM,11:30 PM,Reviewed TSN; reviewed Draft Decision 
2019-031,2019-10-14,05:30 PM,06:30 PM,Reviewed draft Decision 
2019-031,2019-10-15,11:00 AM,12:00 PM,Further reviewed the Draft Decision 
2019-031,2019-07-29,09:00 AM,10:00 AM,Review Reply/Rebuttal Affidavit 
2019-031,2019-08-26,09:00 AM,10:00 AM,Review Final Offer of Evidence 
2019-031,2019-10-02,03:00 PM,05:30 PM,"Review TSN, review Draft Decision "
2019-031,2019-10-14,12:00 PM,01:00 PM,Review Draft Decision 
2019-031,2019-10-15,10:00 AM,11:00 AM,Review further Draft Decision
