File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2012-045,2020-03-11,04:30 PM,05:35 PM,Revised draft lease contract based on client's email dated 10 March 2020. 
2012-045,2020-03-13,12:00 PM,1:20 PM,Made further revisions to the draft lease contract and drafted transmittal email. 
2012-045,2020-03-13,03:00 PM,03:20 PM,Finalization and transmittal of draft lease contract (clean and tracked with comments version).
2005-043,2020-03-10,11:25 AM,11:30 AM,Followed-up with Paranaque Post Office for the issuance of a certification of delivery vis-à-vis certificate of finality of the Order dated 27 November 2019.
2020-035,2020-03-11,02:10 PM,02:50 PM,"Drafted reply to e-mail dated 11 March 2020 regarding Article 41 of the Special Conditions and the use of the term ""lump sum""."
2020-035,2020-03-12,10:30 PM,11:10 PM,Drafted reply to e-mail dated 12 March 2020 regarding adjustment/escalation clauses and designation as a lump sum contract.
2020-035,2020-04-07,02:00 PM,08:00 PM,Drafted evaluation and comments on the discussions between PPI and SPCI as of 07 April 2020.
2020-035,2020-04-14,12:15 PM,12:45 PM,Revised evaluation and comments and transmitted to client.
2020-035,2020-04-14,09:00 AM,11:00 AM,Review of drafted evaluation and comments. (AGS)
2020-035,2020-04-14,09:00 PM,10:30 PM,Drafted responses to further inquiries to evaluation and comments.
2019-179,2020-03-17,03:50 PM,04:05 PM,Drafted reply to email dated 17 March 2020 regarding the next steps and filing of the petition for cancellation of annotations.
2019-179,2020-03-18,11:30 AM,12:00 PM,Reviewed related SEC documents related to SKFI.
2019-148,2020-03-10,11:40 AM,11:50 AM,Drafted reply to e-mail dated 10 March 2020 regarding pick-up of documents.
2019-148,2020-03-10,11:50 AM,12:10 PM,Checked completeness of documents to be turned-over to BEO.
2019-148,2020-03-11,02:50 PM,03:25 PM,Meeting with Mia Nunez of BEO.
2019-140,2020-03-10,02:15 PM,03:15 PM,Reviewed documents transmitted and drafted e-mail requesting confirmation of particular details.
2019-140,2020-03-11,10:20 AM,10:30 AM,Drafted reply to e-mail dated 11 March 2020.
2019-140,2020-03-11,10:30 AM,01:40 PM,Revised draft complaint to incorporate details from the latest documents transmitted.
2019-140,2020-03-12,10:50 AM,11:20 AM,Drafted transmittal of latest draft of complaint and revised computation of estimated filing fees.
2019-140,2020-03-12,12:50 PM,03:10 PM,Reviewed and arranged documents transmitted in preparation for filing of the complaint.
2019-067,2020-03-09,11:30 AM,12:10 PM,Review of initial draft of answers to Priceline insurance questionnaire
2019-067,2020-03-09,01:30 PM,04:10 PM,Revised draft of answers to Priceline insurance questionnaire
2019-067,2020-03-10,01:20 PM,02:30 PM,Further revised draft of answers to Priceline insurance questionnaire
2019-067,2020-03-11,04:00 PM,04:30 PM,Further review of laws and regulations in review of initial draft of Priceline insurance questionnaire and answers 
2019-067,2020-03-16,09:40 AM,10:30 PM,Revised answers to Q14 and Q15 to Priceline insurance questionnaire
2015-069,2020-03-13,03:30 PM,07:00 PM,Reviewed and arranged documents in preparation of the petition for review on certiorari before the SC.
2015-069,2020-03-16,04:10 PM,04:30 PM,Drafted status update vis-à-vis SC Administrative Circular No. 31-2020.
2016-082,2020-03-18,05:25 PM,06:00 PM,Revised and transmitted status update.
