File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars
2012-104,2020-03-25,10:00 AM,10:30 AM,Drafted a reply to JWT regarding the requirement for a negotiated exit
2012-104,2020-03-30,10:00 AM,10:30 AM,Drafted a reply to JWT regarding the requirements for a negotiated exit
2012-104,2020-04-07,10:00 AM,02:00 PM,Drafted the Employee Termination Agreement
2012-104,2020-04-13,01:00 PM,02:00 PM,Tele-conference via zoom to discuss the potential pay-cut
2012-104,2020-04-13,02:00 PM,02:15 PM,Drafted e-mail reply regarding the employee termination agreement
2012-104,2020-04-14,10:00 AM,12:00 PM,Drafted the legal memo regarding the potential pay-cut
1993-081,2020-03-18,10:00 AM,10:30 AM,Drafted e-mail reply to a Dona Paz Claimant
1993-081,2020-03-28,10:00 AM,10:30 AM,Drafted e-mail reply to a Dona Paz Claimant
1996-1445,2020-03-17,10:30 AM,11:00 AM,"PMSC Amendment, revised the documents and sent to Ian"
2019-070,2020-03-17,10:00 AM,10:30 AM,Xorix call with Minerva regarding the query of an employee who can not work from home due to incapacity of the personal computer
2019-070,2020-03-23,10:00 AM,10:30 AM,Drafted the e-mail Reply for the Termination of A. Cuaresma
2019-070,2020-03-25,10:30 AM,12:00 PM,Drafted the termination notice to A. Cuaresma 
2019-070,2020-03-27,10:00 AM,10:30 AM,Drafted the e-mail reply to Xorix regarding SSS Compliance
2019-070,2020-04-01,10:00 AM,12:00 PM,Drafted e-mail advice regarding the possible temporary closure and temporary lay-off of employees
2019-070,2020-04-03,10:00 AM,11:00 PM,Drafted e-mail advice regarding the DOLE CAMP
2019-070,2020-04-09,10:00 AM,11:00 PM,Drafted the e-mail advice regarding Holiday Pay during the Holy Week
2019-070,2020-04-20,10:00 AM,10:30 PM,Drafted the e-mail response to the follow-up query on the holiday pay
2019-070,2020-04-20,01:00 PM,01:20 PM,Phone Call to clarify the query on the holiday pay computation
2015-143,2020-03-16,10:00 AM,10:30 AM,JH-Reel coordinated with the lawyers of Mr. Mercado for a possible resetting of the case
2020-052,2020-04-17,10:00 AM,02:00 PM,Drafted the legal memo and revised the standard employment contract
1997-347,2020-03-24,10:00 AM,01:00 PM,Drafted the amendment of the rental contract and the loan contract
