CODE,NAME
C-0001,"114 PARKWAY REALTY HOLDINGS, INC."
C-0002,"29 AD MUSICIONARIES, INC."
C-0003,"4TH SHIFT GLOBAL, INC."
C-0004,"AB HEINEKEN PHILIPPINES, INC."
C-0005,"ADRISTE PHILIPPINES, INC."
C-0006,AEL MANILA LIMITED INC.
C-0007,AIR CANADA [Air Canada Philippines GSA]
C-0008,AIR FRANCE
C-0009,AIR FRANCE CARGO
C-0010,ALCCO REALTY CORPORATION [MR. CHARLIE GAPUZ TE]
C-0011,"ALCON LABORATORIES PHILIPPINES, INC."
C-0012,"ALNERY PILIPPINES, INC."
C-0013,AMALGAMATED INVESTMENT BANCORPORATION (AIB)
C-0014,AMERICAN AIRLINES
C-0015,AMICUS REALTY CORPORATION
C-0016,"AMITY HOLDINGS, INC."
C-0017,"AMPHORA PROPERTIES, INC."
C-0018,"ANDREWS & FRANK DESIGN HOUSE, INC. [related, KATHERINE'S COLLECTION / MR. GARY GILLER]"
C-0019,"ANKOMAR HOLDINGS, INC"
C-0020,"APP (PHILIPPINES) INC. [related, ARCAPURI GOLDEN PULP & PAPER LTD.]"
C-0021,"ARTNATURE MANUFACTURING PHILIPPINES, INC."
C-0022,"ARTNATURE PHILIPPINES, INC."
C-0023,"ARTNATURE, INC."
C-0024,ATRO GROUP
C-0025,"ATRO HOLDINGS, INC."
C-0026,"ATRO MINING VITALI, INC."
C-0027,"ATRO RESOURCES, INC."
C-0028,BENETERRA CONSOLIDATED CORPORATION
C-0029,"BENMARK GROUP HOLDINGS, INC."
C-0030,BEO DISTRIBUTION AND MARKETING CORPORATION
C-0031,BICOL HAIR EXPORT CORPORATION
C-0032,BIOTECH JP CORPORATION
C-0033,"BLUE LEAF ENERGY SERVICES PHILIPPINES INC. [formerly, CONERGY SOLAR ENERGY INC. / CONERGY RENEWABLE SERVICES PHILIPPINES INC. / CONERGY ASIA & ME PTE., LTD.]"
C-0034,BOHOL LIMESTONE CORPORATION
C-0035,"BOOKMAN, INC"
C-0036,"BUREAU VERITAS SINGAPORE PTE., LTD."
C-0037,BYTEDANCE
C-0038,"CAPE EAST PHILIPPINES, INC."
C-0039,"CHEVRON HOLDINGS, INC."
C-0040,"CHEVRON PHILIPPINES, INC. [formerly CALTEX (PHILIPPINES) INC.]"
C-0041,CHINA AIRLINES
C-0042,"CHINA SOUTHERN AIRLINES CO., LTD."
C-0043,CLARION EVENTS LIMITED
C-0044,CLEARWATER INSURANCE COMPANY
C-0045,CLYDE & CO.
C-0048,CLYDE & CO. [BEAUMONT AND SON AVIATION]
C-0049,CLYDE & CO. [CHINA AIRLINES]
C-0050,"CLYDE & CO. [CLASIS SINGAPORE PTE., LTD.]"
C-0051,CLYDE & CO. [EMIRATES AIRLINES]
C-0046,CLYDE & CO. [GULF AIR COMPANY G.S.C.]
C-0047,CLYDE & CO. [QATAR AIRWAYS]
C-0052,"COALESCE SALES, INC. / GERALDINE SALES"
C-0053,"COCA-COLA BEVERAGES PHILIPPINES, INC. [formerly COCA-COLA FEMSA PHILIPPINES, INC. / COCA COLA BOTTLERS PHILIPPINES, INC]"
C-0054,"COLEGIO DE SAN JUAN DE LETRAN-CALAMBA, INC."
C-0055,CONCENTRIX DAKSH SERVICES PHILIPPINES CORPORATION
C-0056,CONCENTRIX SERVICES CORPORATION
C-0057,CONCRETE AGGREGATES CORPORATION
C-0058,"COUNCIL OF INTERIOR DESIGN EDUCATORS, INC."
C-0059,"CYPRESS GARDEN CONDOMINIUM, CORPORATION"
C-0060,"DA SYSTEM SOLUTIONS, INC. [formerly DAVAO TECHNO AGRO CO., INC.]"
C-0061,"DAWESTYLE PHILIPPINES, INC."
C-0062,DESATI
C-0063,DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH
C-0064,DHL CUSTOM BROKERAGE CORPORATION
C-0065,DHL EXPRESS (PHILIPPINES) CORPORATION [formerly DHL WORLDWIDE EXPRESS (PHILIPPINES) CORPORATION]
C-0066,"DHL SUPPLY CHAIN SINGAPORE PTE., LTD."
C-0067,"DLSU - PUSO EXECUTIVE COMMITTEE [related, JAURIGUE, CARLOS ATTY. / DLSU PARENT'S ASSOCIATION]"
C-0068,DOLE ASIA COMPANY LTD. [formerly DOLE ASIA LTD]
C-0069,DOLE FOOD COMPANY
C-0070,DOLE FRESH FRUIT COMPANY
C-0071,"DOLE PHILIPPINES, INC"
C-0072,"DOLE PHILIPPINES, INC. [POLOMOLOK]"
C-0073,"DOLE PHILIPPINES, INC. [STANFILCO DIVISION]"
C-0074,DOMINION CONDOMINIUM CORPORATION
C-0075,"DOMINION DEVELOPMENT & INVESTMENT, INC."
C-0076,DOW CORNING ASIA LTD.
C-0077,"DPS AGRO EXPRESS, INC."
C-0078,DS CHEMPORT (MALAYSIA) SDN BHD
C-0079,"DWG INK INTERNATIONAL, CORPORATION"
C-0080,EMIRATES AIRLINES
C-0081,ENERGY DEVELOPMENT CORPORATION
C-0082,"ENERTECH SYSTEMS INDUSTRIES, INC."
C-0083,"ESETEK EQUIPMENT (PHILIPPINES), INC. [formerly SCHMIDT PHILIPPINES, INC. / SANDVIK PHILIPPINES, INC.]"
C-0084,"ESSEX PHARMACEUTICALS, INC."
C-0085,ETIHAD AIRWAYS
C-0086,EUROPEAN APPAREL MANUFACTURING CORPORATION
C-0087,"F.J.B. RESOURCES, INC."
C-0088,"FAIR WIND HARBOR SERVICES, INC."
C-0089,FEDERATED REALTY CORPORATION
C-0090,"FEED THE WORLD LIVELIHOOD PROGRAM, INC."
C-0091,FENWICK & WEST LLP [FACEBOOK]
C-0092,"FENWICK & WEST LLP [WHATSAPP, INC.]"
C-0093,FILANZ CORPORATE HOLDINGS
C-0094,FILFLEX INDUSTRIAL AND MANUFACTURING CORPORATION
C-0095,"FOCUSED AND STRATEGIC DISTRIBUTION, INC. [formerly ADAMSON AND ADAMSON, INC.]"
C-0096,"FORTH & TAY, INC."
C-0097,"FOYER DE CHARITE, MARY CAUSE OF OUR JOY COMMUNITY & RETREAT HOUSE, INC."
C-0098,FRIEDRICH NAUMANN FOUNDATION
C-0099,FRIEDRICH NAUMANN STIFTUNG
C-0100,FUJI XEROX ASIA PACIFIC PTE LTD
C-0101,"FUJI XEROX FOUNDATION OF THE PHILIPPINES, INC."
C-0102,"FUJI XEROX PHILIPPINES, INC. [formerly PHILIPPINE FUJI XEROX CORPORATION]"
C-0103,"FUJIFILM OPTICS PHILIPPINES, INC."
C-0104,"FUJIFILM PHILIPPINES, INC."
C-0105,"FXDMS PHILIPPINES, INC."
C-0106,GAMESA EOLICA S.L. UNIPERSONAL PHILIPPINE BRANCH
C-0107,GASTROLEKU RESTAURANT INC.
C-0108,GENERAL GARMENTS MANUFACTURING CORPORATION
C-0109,"GENPHARM, INC."
C-0110,GENZYME SINGAPORE PTE. LTD.
C-0111,GILL JENNINGS & EVERY LLP
C-0112,GLAXOSMITHKLINE CONSUMER HEALTHCARE PHILIPPINES INC.
C-0113,"GLAXOSMITHKLINE LANDHOLDING COMPANY, INC."
C-0114,"GREAT UNITY PHILIPPINE TRADING, INC."
